Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,113.690002,125.040001,109.839996,123.430000,121.789230,20793200
2017-12-01,124.419998,128.320007,121.269997,124.589996,123.208885,25379100
2018-01-01,124.879997,138.539993,120.349998,134.389999,132.900253,18836800
2018-02-01,134.169998,136.940002,96.809998,112.010002,110.768341,48600700
2018-03-01,111.629997,124.559998,110.699997,114.099998,112.835182,28404200
2018-04-01,114.080002,115.129997,104.330002,106.779999,105.851463,20562900
2018-05-01,106.389999,109.550003,97.230003,97.559998,96.711647,28671700
2018-06-01,98.849998,107.669998,97.550003,104.070000,103.447113,24453600
2018-07-01,103.379997,106.169998,94.000000,97.129997,96.548645,13545000
2018-08-01,97.070000,103.970001,91.099998,100.800003,100.196693,19887900
2018-09-01,100.660004,109.120003,95.570000,95.959999,95.679993,16520900
2018-10-01,95.500000,114.599998,93.760002,112.849998,112.520706,21477100
2018-11-01,113.669998,115.110001,104.540001,107.620003,107.305977,17033900
2018-12-01,107.720001,109.250000,87.870003,97.830002,97.830002,16879100
2019-01-01,95.940002,99.470001,89.540001,93.269997,93.269997,15615000
2019-02-01,92.900002,99.430000,92.150002,95.910004,95.910004,16571100
2019-03-01,96.150002,98.360001,89.529999,95.440002,95.440002,17955100
2019-04-01,95.449997,102.480003,94.029999,101.610001,101.610001,11390300
2019-05-01,101.230003,109.669998,99.809998,108.540001,108.540001,16810800
2019-06-01,108.250000,112.910004,103.459999,103.629997,103.629997,14580100
2019-07-01,104.680000,115.919998,104.250000,109.309998,109.309998,11154100
2019-08-01,109.110001,122.879997,108.099998,119.160004,119.160004,14511300
2019-09-01,117.120003,120.349998,109.199997,114.910004,114.910004,14390700
2019-10-01,115.279999,118.449997,112.190002,115.150002,115.150002,12394100
2019-11-01,119.470001,124.879997,112.449997,118.900002,118.900002,15347000
2019-12-01,118.040001,121.849998,114.139999,120.000000,120.000000,12736400
2020-01-01,119.699997,124.190002,114.449997,123.220001,123.220001,13107000
2020-02-01,124.000000,127.930000,111.860001,114.000000,114.000000,16519600
2020-03-01,112.419998,121.089996,72.010002,89.250000,89.250000,32279900
2020-04-01,86.400002,104.389999,84.919998,99.379997,99.379997,22623200
2020-05-01,98.989998,106.459999,92.029999,106.459999,106.459999,14299100
2020-06-01,106.610001,107.120003,90.860001,93.279999,93.279999,19173500
2020-07-01,93.449997,97.790001,85.540001,87.699997,87.699997,16041900
2020-08-01,86.919998,94.269997,85.000000,91.790001,91.790001,17189300
2020-09-01,91.199997,92.160004,83.790001,87.739998,87.739998,18780400
2020-10-01,88.500000,89.370003,77.629997,81.290001,81.290001,21215200
2020-11-01,82.000000,94.519997,82.000000,91.320000,91.320000,16288200
2020-12-01,91.709999,94.000000,84.650002,93.120003,93.120003,16729100
2021-01-01,92.889999,101.599998,90.169998,91.730003,91.730003,13615900
2021-02-01,92.160004,102.260002,87.000000,98.959999,98.959999,18637500
2021-03-01,100.070000,106.919998,96.019997,98.690002,98.690002,16281400
2021-04-01,99.209999,107.769997,98.099998,104.370003,104.370003,9352600
2021-05-01,105.790001,116.389999,104.800003,111.300003,111.300003,10648200
2021-06-01,112.459999,122.269997,109.879997,119.050003,119.050003,13652300
2021-07-01,119.820000,121.029999,114.279999,118.470001,118.470001,10579700
2021-08-01,119.000000,139.000000,118.379997,126.150002,126.150002,18652300
2021-09-01,125.559998,128.339996,121.160004,123.860001,123.860001,9591700
2021-10-01,124.400002,134.250000,119.120003,131.940002,131.940002,9273900
2021-11-01,133.149994,135.649994,125.029999,128.940002,128.940002,13505800
2021-12-01,128.639999,133.020004,124.330002,130.399994,130.399994,10565700
2022-01-01,129.889999,129.929993,112.669998,118.529999,118.529999,11564200
2022-02-01,118.970001,125.209999,112.239998,117.290001,117.290001,12848600
2022-03-01,116.910004,120.949997,110.750000,114.419998,114.419998,14911900
2022-04-01,115.180000,121.980003,111.559998,112.980003,112.980003,13873100
2022-05-01,113.150002,114.809998,103.820000,112.309998,112.309998,14694100
2022-06-01,112.599998,116.129997,106.410004,113.190002,113.190002,11723800
2022-07-01,113.959999,126.870003,111.879997,123.379997,123.379997,11966500
2022-08-01,123.019997,126.610001,114.870003,117.970001,117.970001,15005300
2022-09-01,117.800003,124.980003,115.150002,117.370003,117.370003,11525100
2022-10-01,117.110001,125.889999,115.360001,124.500000,124.500000,13511400
2022-11-01,124.519997,130.539993,114.169998,126.839996,126.839996,20272500
2022-12-01,127.290001,130.520004,119.930000,125.470001,125.470001,13681100
2023-01-01,126.430000,127.790001,120.800003,122.879997,122.879997,12991800
2023-02-01,121.959999,132.009995,116.110001,126.169998,126.169998,13712700
2023-03-01,126.480003,134.240005,117.309998,134.240005,134.240005,16920100
2023-04-01,133.350006,140.559998,132.779999,139.699997,139.699997,10442200
2023-05-01,139.979996,140.820007,131.229996,132.419998,132.419998,14674500
2023-06-01,133.000000,139.250000,130.919998,138.009995,138.009995,13926600
2023-07-01,138.699997,143.830002,135.020004,139.679993,139.679993,10280400
2023-08-01,140.389999,152.369995,137.000000,149.710007,149.710007,15509400
2023-09-01,149.080002,158.710007,148.139999,156.210007,156.210007,13476500
2023-10-01,155.410004,164.399994,154.220001,162.080002,162.080002,7736500
