Date,Open,High,Low,Close,Adj Close,Volume
2013-09-01,16.420000,17.770000,16.209999,16.870001,10.530704,771336600
2013-10-01,16.930000,18.020000,16.350000,17.110001,10.680519,860633500
2013-11-01,17.240000,17.240000,16.530001,17.080000,10.722685,672392400
2013-12-01,17.120001,17.200001,15.100000,15.430000,9.686828,1037390500
2014-01-01,15.420000,16.780001,14.900000,14.960000,9.391763,1003488000
2014-02-01,15.000000,15.490000,14.400000,15.390000,9.739159,712696400
2014-03-01,15.200000,15.830000,15.030000,15.600000,9.872053,617354600
2014-04-01,15.670000,16.490000,15.530000,16.150000,10.220102,664199500
2014-05-01,16.150000,16.559999,15.430000,16.440001,10.484923,504923500
2014-06-01,16.510000,17.350000,16.379999,17.240000,10.995140,558700700
2014-07-01,17.340000,18.120001,17.010000,17.020000,10.854835,618952400
2014-08-01,17.049999,17.520000,16.719999,17.410000,11.183124,420844900
2014-09-01,17.480000,17.870001,14.490000,14.790000,9.500196,655672700
2014-10-01,14.770000,14.830000,13.260000,14.090000,9.050559,910293700
2014-11-01,14.100000,15.840000,13.860000,15.730000,10.193982,602657400
2014-12-01,15.780000,16.129999,13.930000,15.500000,10.044930,593521500
2015-01-01,15.590000,15.650000,14.300000,14.710000,9.532961,596890300
2015-02-01,14.750000,16.620001,14.740000,16.340000,10.697355,524690500
2015-03-01,16.340000,16.740000,15.690000,16.139999,10.566420,609978100
2015-04-01,16.160000,16.160000,15.700000,15.800000,10.343832,539789600
2015-05-01,15.900000,15.940000,15.140000,15.170000,10.025019,428759700
2015-06-01,15.330000,15.660000,14.780000,15.010000,9.919286,578382200
2015-07-01,15.140000,15.300000,14.230000,14.830000,9.800332,672444200
2015-08-01,14.970000,15.040000,10.440000,13.870000,9.259580,596466400
2015-09-01,13.950000,14.880000,13.010000,13.570000,9.059301,744638400
2015-10-01,13.760000,15.840000,13.420000,14.810000,9.887122,668696500
2015-11-01,14.790000,14.900000,13.850000,14.330000,9.664028,443767100
2015-12-01,14.320000,14.620000,13.400000,14.090000,9.502173,587975700
2016-01-01,13.870000,14.000000,11.200000,11.940000,8.052232,1087624700
2016-02-01,11.920000,12.650000,11.020000,12.510000,8.721177,795878200
2016-03-01,13.010000,13.860000,12.720000,13.500000,9.411342,723070900
2016-04-01,13.280000,14.220000,12.390000,13.560000,9.453172,736240700
2016-05-01,13.670000,13.790000,13.020000,13.490000,9.508096,543642100
2016-06-01,13.430000,13.550000,12.000000,12.570000,8.859656,778155400
2016-07-01,12.880000,14.040000,12.210000,12.660000,8.923090,756186500
2016-08-01,12.610000,12.620000,11.900000,12.600000,8.978179,726884900
2016-09-01,12.660000,12.770000,11.930000,12.070000,8.600524,746043700
2016-10-01,12.060000,12.530000,11.600000,11.740000,8.365382,657689600
2016-11-01,11.780000,12.500000,11.070000,11.960000,8.628316,736856500
2016-12-01,12.230000,13.200000,12.080000,12.130000,8.750959,709201400
2017-01-01,12.200000,13.270000,12.130000,12.360000,8.916887,879509200
2017-02-01,12.450000,12.770000,12.220000,12.530000,9.185212,586173700
2017-03-01,12.660000,12.750000,11.410000,11.640000,8.532791,952495700
2017-04-01,11.640000,11.700000,11.080000,11.470000,8.408170,779918200
2017-05-01,11.490000,11.540000,10.670000,11.120000,8.261461,932923800
2017-06-01,11.250000,11.540000,10.910000,11.190000,8.313465,850617600
2017-07-01,11.360000,11.830000,10.950000,11.220000,8.335755,697037000
2017-08-01,11.110000,11.200000,10.470000,11.030000,8.299836,760514500
2017-09-01,11.180000,12.060000,11.140000,11.970000,9.007168,682274700
2017-10-01,12.000000,12.460000,11.870000,12.270000,9.232911,874278600
2017-11-01,12.400000,12.650000,11.870000,12.520000,9.538013,701585400
2017-12-01,12.620000,12.810000,12.280000,12.490000,9.515156,597327400
2018-01-01,12.520000,13.480000,10.900000,10.970000,8.357187,1142142300
2018-02-01,10.950000,11.040000,10.190000,10.610000,8.281982,970377300
2018-03-01,10.650000,11.440000,10.140000,11.080000,8.648855,1007233600
2018-04-01,11.060000,11.730000,10.700000,11.240000,8.773748,882033000
2018-05-01,11.250000,11.740000,10.970000,11.550000,9.136692,701227100
2018-06-01,11.670000,12.150000,11.030000,11.070000,8.756986,762713500
2018-07-01,11.020000,11.260000,9.840000,10.040000,7.942200,851569700
2018-08-01,10.060000,10.100000,9.350000,9.480000,7.604633,858463900
2018-09-01,9.530000,9.940000,9.090000,9.250000,7.420133,803729200
2018-10-01,9.430000,9.670000,8.170000,9.550000,7.660786,1300409700
2018-11-01,9.540000,9.800000,8.960000,9.410000,7.684081,873823100
2018-12-01,9.710000,9.850000,7.410000,7.650000,6.246889,956262400
2019-01-01,7.530000,9.060000,7.480000,8.800000,7.185964,1004292300
2019-02-01,8.770000,8.980000,8.160000,8.770000,7.286231,730016300
2019-03-01,8.850000,8.970000,8.340000,8.780000,7.294538,944056400
2019-04-01,8.860000,10.500000,8.860000,10.450000,8.681997,938067400
2019-05-01,10.480000,10.500000,9.320000,9.520000,8.036228,800091600
2019-06-01,9.620000,10.310000,9.460000,10.230000,8.635569,627584700
2019-07-01,10.340000,10.560000,9.400000,9.530000,8.044669,891313400
2019-08-01,9.530000,9.620000,8.700000,9.170000,7.856312,749401800
2019-09-01,9.180000,9.650000,9.040000,9.160000,7.847744,659445200
2019-10-01,9.190000,9.320000,8.440000,8.590000,7.359404,888712200
2019-11-01,8.640000,9.150000,8.640000,9.060000,7.889458,669268700
2019-12-01,9.080000,9.570000,8.800000,9.300000,8.098450,746135500
2020-01-01,9.290000,9.420000,8.730000,8.820000,7.680465,1088852400
2020-02-01,8.850000,9.240000,6.670000,6.960000,6.163850,1639965500
2020-03-01,7.110000,7.340000,3.960000,4.830000,4.277499,2622835900
2020-04-01,4.630000,5.750000,4.170000,5.090000,4.507758,1954784400
2020-05-01,5.020000,6.090000,4.520000,5.710000,5.056836,1805254600
2020-06-01,5.730000,7.740000,5.670000,6.080000,5.384512,2162095800
2020-07-01,6.100000,7.060000,5.740000,6.610000,5.853886,1641503600
2020-08-01,6.650000,7.380000,6.530000,6.820000,6.039864,1114124800
2020-09-01,6.770000,7.400000,6.410000,6.660000,5.898166,1285238800
2020-10-01,6.710000,8.350000,6.600000,7.730000,6.845769,1420926300
2020-11-01,7.830000,9.500000,7.630000,9.080000,8.041343,1434081400
2020-12-01,9.160000,9.490000,8.750000,8.790000,7.784516,1237449300
2021-01-01,8.810000,12.150000,8.430000,10.530000,9.325478,1923473000
2021-02-01,10.650000,12.400000,10.360000,11.700000,10.361645,1454667900
2021-03-01,11.870000,13.620000,11.630000,12.250000,10.848731,1683492600
2021-04-01,12.280000,12.990000,11.140000,11.540000,10.219946,1329294700
2021-05-01,11.560000,15.050000,11.230000,14.530000,12.867920,1943954700
2021-06-01,14.720000,16.450001,14.440000,14.860000,13.160172,1924494500
2021-07-01,14.910000,15.040000,12.790000,13.950000,12.354266,1242506500
2021-08-01,14.020000,14.330000,12.380000,13.030000,11.539506,1158184500
2021-09-01,13.030000,14.730000,12.620000,14.160000,12.540247,1411980700
2021-10-01,14.260000,17.580000,13.890000,17.080000,15.126228,1668673100
2021-11-01,17.500000,20.790001,17.070000,19.190001,16.994865,2282540600
2021-12-01,19.629999,21.490000,18.610001,20.770000,18.486752,1850449400
2022-01-01,21.270000,25.870001,18.799999,20.299999,18.068419,2907578400
2022-02-01,20.610001,21.049999,15.960000,17.559999,15.709984,1826127200
2022-03-01,17.410000,18.250000,15.510000,16.910000,15.128464,1749488000
2022-04-01,17.010000,17.150000,13.900000,14.160000,12.668187,1341531000
2022-05-01,14.020000,15.000000,12.070000,13.680000,12.320187,1360048800
2022-06-01,13.880000,13.970000,10.900000,11.130000,10.023661,1143688600
2022-07-01,11.100000,14.790000,10.610000,14.690000,13.229791,1247603800
2022-08-01,14.660000,16.680000,14.550000,15.240000,13.725121,1455634600
2022-09-01,15.100000,15.740000,11.190000,11.200000,10.187302,1620561600
2022-10-01,11.380000,13.510000,11.130000,13.370000,12.161091,1433553600
2022-11-01,13.570000,14.670000,12.770000,13.900000,12.643168,1037714100
2022-12-01,14.090000,14.360000,10.900000,11.630000,10.688997,1116350600
2023-01-01,11.820000,13.570000,11.570000,13.510000,12.416883,1101986500
2023-02-01,13.520000,14.600000,11.750000,12.070000,11.093395,1378835100
2023-03-01,12.350000,13.180000,11.120000,12.600000,12.310568,1809051600
2023-04-01,12.530000,13.080000,11.440000,11.880000,11.607106,1060423900
2023-05-01,12.010000,12.780000,11.240000,12.000000,11.870783,1397215200
2023-06-01,12.070000,15.230000,11.840000,15.130000,14.967078,1251011600
2023-07-01,15.150000,15.420000,12.910000,13.210000,13.067753,1172343600
2023-08-01,13.150000,13.440000,11.580000,12.130000,12.130000,1042176300
2023-09-01,12.160000,12.910000,11.830000,12.420000,12.420000,920600700
2023-10-01,12.380000,12.440000,11.690000,11.810000,11.810000,460339900
