Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2019-05-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2019-06-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2019-07-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2019-08-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2019-09-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2019-10-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2019-11-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2019-12-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2020-01-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2020-02-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2020-03-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2020-04-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2020-05-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2020-06-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2020-07-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2020-08-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2020-09-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2020-10-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2020-11-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2020-12-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2021-01-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2021-02-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2021-03-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2021-04-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2021-05-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2021-06-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2021-07-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2021-08-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2021-09-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2021-10-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2021-11-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2021-12-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2022-01-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2022-02-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2022-03-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2022-04-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2022-05-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2022-06-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2022-07-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2022-08-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2022-09-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2022-10-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2022-11-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2022-12-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2023-01-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2023-02-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2023-03-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2023-04-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2023-05-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2023-06-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2023-07-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2023-08-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2023-09-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
2023-10-01,62.500000,62.500000,62.500000,62.500000,62.500000,0
