Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,64.709999,72.120003,57.200001,68.660004,68.660004,52622400
2016-02-01,68.099998,73.709999,58.080002,71.870003,71.870003,54956500
2016-03-01,71.360001,74.290001,66.580002,68.470001,68.470001,37692800
2016-04-01,67.879997,69.010002,55.189999,55.840000,55.840000,49353200
2016-05-01,56.259998,56.320000,46.669998,49.650002,49.650002,43970700
2016-06-01,49.779999,51.299999,43.700001,48.480000,48.480000,36547100
2016-07-01,48.389999,49.250000,44.060001,46.680000,46.680000,47039500
2016-08-01,46.910000,49.500000,36.750000,37.820000,37.820000,98283600
2016-09-01,37.820000,40.330002,33.740002,39.490002,39.490002,67558400
2016-10-01,39.650002,42.900002,37.230000,40.490002,40.490002,48973600
2016-11-01,40.570000,41.250000,28.600000,30.320000,30.320000,112372800
2016-12-01,30.469999,35.520000,29.650000,32.090000,32.090000,50208600
2017-01-01,32.610001,36.410000,30.340000,31.190001,31.190001,37656300
2017-02-01,31.400000,38.500000,30.799999,36.189999,36.189999,62061900
2017-03-01,36.540001,36.880001,27.080000,27.100000,27.100000,81855200
2017-04-01,27.170000,30.500000,25.559999,29.549999,29.549999,65761400
2017-05-01,29.990000,39.919998,29.230000,38.509998,38.509998,93961000
2017-06-01,38.610001,41.169998,35.330002,39.880001,39.880001,50985800
2017-07-01,39.919998,49.750000,38.360001,49.310001,49.310001,54727800
2017-08-01,49.849998,50.209999,45.759998,46.959999,46.959999,35458000
2017-09-01,47.009998,53.000000,45.259998,45.880001,45.880001,53647200
2017-10-01,46.299999,61.470001,45.270000,54.820000,54.820000,60060100
2017-11-01,55.360001,63.099998,54.709999,62.099998,62.099998,40971900
2017-12-01,61.680000,71.800003,56.130001,67.519997,67.519997,47052300
2018-01-01,67.839996,76.610001,66.040001,67.169998,67.169998,49836900
2018-02-01,66.650002,68.370003,58.799999,62.849998,62.849998,38328600
2018-03-01,63.299999,74.680000,61.139999,70.980003,70.980003,30953900
2018-04-01,70.730003,81.720001,67.010002,70.910004,70.910004,33635700
2018-05-01,71.000000,75.750000,65.050003,67.610001,67.610001,35700300
2018-06-01,68.059998,68.400002,50.230000,52.660000,52.660000,92378500
2018-07-01,52.279999,55.750000,48.000000,52.349998,52.349998,39279600
2018-08-01,53.150002,55.240002,49.970001,52.080002,52.080002,25304700
2018-09-01,51.959999,52.220001,47.340000,48.419998,48.419998,21213100
2018-10-01,48.490002,50.060001,36.509998,41.799999,41.799999,40984700
2018-11-01,41.490002,46.090000,40.330002,44.450001,44.450001,33044600
2018-12-01,45.900002,47.790001,38.450001,42.459999,42.459999,37475100
2019-01-01,41.630001,51.430000,41.410000,50.590000,50.590000,31040200
2019-02-01,50.779999,55.380001,47.160000,52.549999,52.549999,34563200
2019-03-01,53.080002,56.040001,49.060001,52.840000,52.840000,28003700
2019-04-01,53.290001,62.660000,53.180000,61.529999,61.529999,27241400
2019-05-01,62.090000,63.820000,56.540001,58.040001,58.040001,30741700
2019-06-01,58.000000,66.050003,57.400002,65.680000,65.680000,21739500
2019-07-01,66.300003,67.989998,64.089996,64.489998,64.489998,18025000
2019-08-01,65.519997,69.239998,58.570000,62.070000,62.070000,28563300
2019-09-01,61.290001,68.550003,55.950001,58.009998,58.009998,26903300
2019-10-01,58.400002,62.889999,50.220001,51.790001,51.790001,40291000
2019-11-01,52.259998,55.799999,51.430000,55.240002,55.240002,16364000
2019-12-01,55.520000,59.000000,52.250000,55.959999,55.959999,22549000
2020-01-01,56.400002,59.099998,49.250000,49.580002,49.580002,34490800
2020-02-01,49.880001,59.900002,42.500000,45.770000,45.770000,44593900
2020-03-01,45.880001,46.220001,28.469999,36.060001,36.060001,44899300
2020-04-01,34.750000,45.680000,33.000000,44.009998,44.009998,28379900
2020-05-01,42.500000,47.599998,37.919998,46.619999,46.619999,26763500
2020-06-01,46.500000,54.500000,46.259998,49.500000,49.500000,24038500
2020-07-01,49.279999,63.680000,49.040001,59.549999,59.549999,35513000
2020-08-01,60.000000,81.870003,59.290001,76.589996,76.589996,35729500
2020-09-01,76.610001,79.160004,59.520000,66.199997,66.199997,50239800
2020-10-01,67.269997,97.930000,66.709999,87.050003,87.050003,82572000
2020-11-01,89.000000,98.459999,77.769997,93.430000,93.430000,67470100
2020-12-01,90.879997,109.089996,84.769997,98.919998,98.919998,50394600
2021-01-01,101.580002,112.500000,91.300003,99.150002,99.150002,61668400
2021-02-01,99.580002,104.989998,77.900002,81.019997,81.019997,45618700
2021-03-01,82.230003,88.900002,68.070000,87.300003,87.300003,54318800
2021-04-01,88.790001,91.120003,75.760002,76.529999,76.529999,55957800
2021-05-01,77.620003,78.180000,67.709999,76.110001,76.110001,39168800
2021-06-01,77.239998,94.080002,73.910004,90.510002,90.510002,47774500
2021-07-01,91.260002,95.639999,78.930000,86.040001,86.040001,38937100
2021-08-01,89.040001,97.550003,86.660004,94.000000,94.000000,30199900
2021-09-01,94.459999,107.269997,90.180000,95.459999,95.459999,43097100
2021-10-01,96.269997,120.900002,92.760002,119.589996,119.589996,38252000
2021-11-01,120.250000,123.129997,101.129997,103.599998,103.599998,36319300
2021-12-01,105.910004,108.180000,84.779999,87.160004,87.160004,26943600
2022-01-01,88.010002,91.360001,69.860001,78.379997,78.379997,28403600
2022-02-01,78.320000,78.870003,61.240002,75.290001,75.290001,29403600
2022-03-01,75.169998,85.790001,63.009998,83.739998,83.739998,53737000
2022-04-01,84.099998,86.309998,69.559998,73.029999,73.029999,27415200
2022-05-01,72.769997,78.959999,59.599998,70.610001,70.610001,26946800
2022-06-01,70.610001,76.720001,60.770000,68.129997,68.129997,32117700
2022-07-01,67.580002,102.120003,60.959999,99.169998,99.169998,47643000
2022-08-01,98.970001,130.250000,95.769997,127.550003,127.550003,67921200
2022-09-01,124.529999,140.639999,123.730003,132.270004,132.270004,67110200
2022-10-01,132.699997,148.199997,115.660004,145.570007,145.570007,69925300
2022-11-01,148.000000,173.679993,143.380005,172.529999,172.529999,59071800
2022-12-01,172.559998,173.630005,142.350006,149.789993,149.789993,67010900
2023-01-01,151.009995,185.279999,141.809998,177.600006,177.600006,46604300
2023-02-01,177.399994,182.350006,157.000000,169.139999,169.139999,31656500
2023-03-01,180.550003,219.550003,177.289993,217.500000,217.500000,75004300
2023-04-01,217.279999,221.880005,170.550003,182.580002,182.580002,45658400
2023-05-01,182.580002,232.000000,170.919998,202.960007,202.960007,71787900
2023-06-01,204.619995,212.350006,176.960007,190.089996,190.089996,34808700
2023-07-01,191.110001,224.500000,181.639999,207.399994,207.399994,43377200
2023-08-01,207.380005,213.429993,173.740005,189.119995,189.119995,42992900
2023-09-01,191.270004,193.479996,157.500000,161.589996,161.589996,36498000
2023-10-01,160.500000,161.990005,142.509995,147.919998,147.919998,24604200
