Date,Open,High,Low,Close,Adj Close,Volume
2012-09-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2012-10-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2012-11-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2012-12-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2013-01-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2013-02-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2013-03-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2013-04-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2013-05-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2013-06-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2013-07-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2013-08-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2013-09-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2013-10-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2013-11-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2013-12-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2014-01-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2014-02-01,0.200000,0.200000,0.080000,0.080000,0.080000,1000
2014-03-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2014-04-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2014-05-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2014-06-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2014-07-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2014-08-01,0.080000,0.080000,0.080000,0.080000,0.080000,562
2014-09-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2014-10-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2014-11-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2014-12-01,0.080000,0.080000,0.080000,0.080000,0.080000,480
2015-01-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2015-02-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2015-03-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2015-04-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2015-05-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2015-06-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2015-07-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2015-08-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2015-09-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2015-10-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2015-11-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2015-12-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2016-01-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2016-02-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2016-03-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2016-04-01,0.080000,0.080000,0.080000,0.080000,0.080000,0
2016-05-01,0.080000,1.000000,0.080000,1.000000,1.000000,5203
2016-06-01,1.000000,1.050000,0.250000,0.250000,0.250000,5206
2016-07-01,0.250000,0.250000,0.250000,0.250000,0.250000,0
2016-08-01,0.250000,0.250000,0.250000,0.250000,0.250000,0
2016-09-01,0.250000,0.250000,0.250000,0.250000,0.250000,0
2016-10-01,0.250000,0.250000,0.250000,0.250000,0.250000,0
2016-11-01,0.250000,0.250000,0.250000,0.250000,0.250000,0
2016-12-01,0.250000,0.250000,0.200000,0.200000,0.200000,207
2017-01-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2017-02-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2017-03-01,0.200000,0.200000,0.200000,0.200000,0.200000,4346
2017-04-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2017-05-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2017-06-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2017-07-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2017-08-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2017-09-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2017-10-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2017-11-01,0.200000,0.200000,0.200000,0.200000,0.200000,258
2017-12-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2018-01-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2018-02-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2018-03-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2018-04-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2018-05-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2018-06-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2018-07-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2018-08-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2018-09-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2018-10-01,0.200000,0.200000,0.200000,0.200000,0.200000,0
2018-11-01,0.200000,0.300000,0.200000,0.300000,0.300000,3060
2018-12-01,0.300000,0.300000,0.300000,0.300000,0.300000,0
2019-01-01,0.300000,0.300000,0.250000,0.250000,0.250000,597
2019-02-01,0.250000,0.250000,0.250000,0.250000,0.250000,0
2019-03-01,0.250000,0.250000,0.250000,0.250000,0.250000,0
2019-04-01,0.250000,0.250000,0.250000,0.250000,0.250000,0
2019-05-01,0.250000,0.250000,0.250000,0.250000,0.250000,0
2019-06-01,0.250000,0.250000,0.190000,0.190000,0.190000,1291
2019-07-01,0.190000,0.190000,0.190000,0.190000,0.190000,0
2019-08-01,0.190000,0.190000,0.190000,0.190000,0.190000,0
2019-09-01,0.190000,0.190000,0.190000,0.190000,0.190000,2562
2019-10-01,0.190000,0.190000,0.190000,0.190000,0.190000,0
2019-11-01,0.190000,0.190000,0.015000,0.015000,0.015000,113
2019-12-01,0.015000,0.015000,0.015000,0.015000,0.015000,0
2020-01-01,0.015000,0.015000,0.015000,0.015000,0.015000,0
2020-02-01,0.015000,0.015000,0.010000,0.010000,0.010000,150
2020-03-01,0.010000,0.010000,0.010000,0.010000,0.010000,0
2020-04-01,0.010000,0.010000,0.000300,0.000300,0.000300,486
2020-05-01,0.000300,0.000300,0.000300,0.000300,0.000300,0
2020-06-01,0.000300,0.000300,0.000300,0.000300,0.000300,0
2020-07-01,0.000300,0.001000,0.000300,0.001000,0.001000,100
2020-08-01,0.001000,0.003000,0.001000,0.003000,0.003000,100
2020-09-01,0.003000,0.100000,0.003000,0.100000,0.100000,5100
2020-10-01,0.100000,0.100000,0.020000,0.020000,0.020000,301
2020-11-01,0.020000,0.020000,0.020000,0.020000,0.020000,301
2020-12-01,0.020000,0.020000,0.020000,0.020000,0.020000,100
2021-01-01,0.020000,0.250000,0.020000,0.020000,0.020000,2002
2021-02-01,0.020000,0.250000,0.000200,0.250000,0.250000,610
2021-03-01,0.250000,0.250000,0.250000,0.250000,0.250000,0
2021-04-01,0.250000,0.285000,0.250000,0.285000,0.285000,3508
2021-05-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2021-06-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2021-07-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2021-08-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2021-09-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2021-10-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2021-11-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2021-12-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2022-01-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2022-02-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2022-03-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2022-04-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2022-05-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2022-06-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2022-07-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2022-08-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2022-09-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2022-10-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2022-11-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2022-12-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2023-01-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2023-02-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2023-03-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2023-04-01,0.285000,0.285000,0.285000,0.285000,0.285000,0
2023-05-01,0.285000,0.285000,0.000300,0.000300,0.000300,3508
2023-06-01,0.000300,0.000300,0.000300,0.000300,0.000300,0
2023-07-01,0.000300,0.000300,0.000300,0.000300,0.000300,4360
2023-08-01,0.000300,0.000300,0.000300,0.000300,0.000300,0
2023-09-01,0.000300,0.000300,0.000300,0.000300,0.000300,0
2023-10-01,0.000300,0.000300,0.000300,0.000300,0.000300,0
